Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Type,Time,Media file name,Image index,Image file path,Comment
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,1.935,observation_with_box.mp4,58,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,2.802,observation_with_box.mp4,84,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,3.103,observation_with_box.mp4,93,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,3.403,observation_with_box.mp4,102,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,4.271,observation_with_box.mp4,128,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,4.437,observation_with_box.mp4,133,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,4.838,observation_with_box.mp4,145,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,5.138,observation_with_box.mp4,154,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,5.338,observation_with_box.mp4,160,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,5.405,observation_with_box.mp4,162,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,5.839,observation_with_box.mp4,175,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,6.039,observation_with_box.mp4,181,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,7.107,observation_with_box.mp4,213,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,7.674,observation_with_box.mp4,230,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,7.774,observation_with_box.mp4,233,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,8.108,observation_with_box.mp4,243,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,8.241,observation_with_box.mp4,247,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,8.375,observation_with_box.mp4,251,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,8.542,observation_with_box.mp4,256,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,8.808,observation_with_box.mp4,264,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,8.975,observation_with_box.mp4,269,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,9.209,observation_with_box.mp4,276,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,9.342,observation_with_box.mp4,280,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,9.509,observation_with_box.mp4,285,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,9.809,observation_with_box.mp4,294,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,9.843,observation_with_box.mp4,295,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,10.377,observation_with_box.mp4,311,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,10.41,observation_with_box.mp4,312,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,10.543,observation_with_box.mp4,316,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,10.81,observation_with_box.mp4,324,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,11.044,observation_with_box.mp4,331,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,11.311,observation_with_box.mp4,339,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,11.411,observation_with_box.mp4,342,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,11.478,observation_with_box.mp4,344,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,11.578,observation_with_box.mp4,347,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,11.645,observation_with_box.mp4,349,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,11.745,observation_with_box.mp4,352,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,11.778,observation_with_box.mp4,353,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,11.845,observation_with_box.mp4,355,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,11.978,observation_with_box.mp4,359,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,12.546,observation_with_box.mp4,376,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,12.546,observation_with_box.mp4,376,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,13.046,observation_with_box.mp4,391,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,13.28,observation_with_box.mp4,398,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,13.28,observation_with_box.mp4,398,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,13.28,observation_with_box.mp4,398,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,13.98,observation_with_box.mp4,419,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,14.114,observation_with_box.mp4,423,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,14.147,observation_with_box.mp4,424,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,14.247,observation_with_box.mp4,427,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,14.447,observation_with_box.mp4,433,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,14.481,observation_with_box.mp4,434,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,14.648,observation_with_box.mp4,439,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,15.048,observation_with_box.mp4,451,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,15.181,observation_with_box.mp4,455,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,15.215,observation_with_box.mp4,456,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,15.248,observation_with_box.mp4,457,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,15.348,observation_with_box.mp4,460,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,15.482,observation_with_box.mp4,464,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,15.615,observation_with_box.mp4,468,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,15.615,observation_with_box.mp4,468,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,15.615,observation_with_box.mp4,468,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,15.649,observation_with_box.mp4,469,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,15.782,observation_with_box.mp4,473,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,15.782,observation_with_box.mp4,473,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,15.882,observation_with_box.mp4,476,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,15.949,observation_with_box.mp4,478,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,16.249,observation_with_box.mp4,487,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,16.416,observation_with_box.mp4,492,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,16.416,observation_with_box.mp4,492,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,16.516,observation_with_box.mp4,495,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,16.516,observation_with_box.mp4,495,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,16.583,observation_with_box.mp4,497,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,16.783,observation_with_box.mp4,503,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,16.95,observation_with_box.mp4,508,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,17.15,observation_with_box.mp4,514,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,17.25,observation_with_box.mp4,517,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,17.317,observation_with_box.mp4,519,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,17.417,observation_with_box.mp4,522,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,17.517,observation_with_box.mp4,525,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,17.651,observation_with_box.mp4,529,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,17.817,observation_with_box.mp4,534,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,17.851,observation_with_box.mp4,535,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,18.018,observation_with_box.mp4,540,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,18.118,observation_with_box.mp4,543,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,Bridge,,START,18.385,observation_with_box.mp4,551,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,18.385,observation_with_box.mp4,551,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,18.818,observation_with_box.mp4,564,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,18.985,observation_with_box.mp4,569,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,19.052,observation_with_box.mp4,571,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,19.119,observation_with_box.mp4,573,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,19.386,observation_with_box.mp4,581,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,19.419,observation_with_box.mp4,582,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,19.786,observation_with_box.mp4,593,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,20.12,observation_with_box.mp4,603,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,20.32,observation_with_box.mp4,609,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,20.353,observation_with_box.mp4,610,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,20.587,observation_with_box.mp4,617,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,20.72,observation_with_box.mp4,621,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,20.754,observation_with_box.mp4,622,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,20.887,observation_with_box.mp4,626,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,21.021,observation_with_box.mp4,630,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,21.154,observation_with_box.mp4,634,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,21.221,observation_with_box.mp4,636,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,21.388,observation_with_box.mp4,641,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,21.421,observation_with_box.mp4,642,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,21.521,observation_with_box.mp4,645,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,21.655,observation_with_box.mp4,649,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,21.721,observation_with_box.mp4,651,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,21.888,observation_with_box.mp4,656,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,22.022,observation_with_box.mp4,660,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,22.022,observation_with_box.mp4,660,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,22.155,observation_with_box.mp4,664,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,22.789,observation_with_box.mp4,683,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,22.822,observation_with_box.mp4,684,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,23.023,observation_with_box.mp4,690,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,23.156,observation_with_box.mp4,694,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,23.356,observation_with_box.mp4,700,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,23.523,observation_with_box.mp4,705,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,23.69,observation_with_box.mp4,710,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,23.757,observation_with_box.mp4,712,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,24.057,observation_with_box.mp4,721,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-in,,POINT,24.19,observation_with_box.mp4,725,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,24.324,observation_with_box.mp4,729,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,24.357,observation_with_box.mp4,730,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,24.357,observation_with_box.mp4,730,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,24.457,observation_with_box.mp4,733,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,24.558,observation_with_box.mp4,736,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,24.591,observation_with_box.mp4,737,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,24.624,observation_with_box.mp4,738,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,24.891,observation_with_box.mp4,746,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,25.292,observation_with_box.mp4,758,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-out,,POINT,25.492,observation_with_box.mp4,764,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,25.759,observation_with_box.mp4,772,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,25.759,observation_with_box.mp4,772,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,25.959,observation_with_box.mp4,778,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.059,observation_with_box.mp4,781,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.126,observation_with_box.mp4,783,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.226,observation_with_box.mp4,786,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.493,observation_with_box.mp4,794,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.526,observation_with_box.mp4,795,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.726,observation_with_box.mp4,801,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.826,observation_with_box.mp4,804,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,26.86,observation_with_box.mp4,805,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,left-out,,POINT,26.927,observation_with_box.mp4,807,NA,
observation,11:54.6,,407.04,Media file(s),player #1:observation_with_box.mp4,0,408.975,29.97,,right-in,,POINT,27.027,observation_with_box.mp4,810,NA,
